idInicio,idFinal,pendiente,agregadaPor,esVerificada,esCiclovia,distancia,ponderacionRapidez,ponderacionCiclovia,ponderacionPendiente,nombreRuta,tieneIncidente
27,30,1.0,admin,false,false,48.037864685058594,0.28335536,0.8055629,0.49861664,De Galo plaza y Nicolas Urquiola a Cotac,false
27,26,2.2,admin,false,false,280.74981689453125,0.38420102,0.8325114,0.5721613,De Galo plaza y Nicolas Urquiola a Pinos y Galo Plaza,false
28,27,-2.5,admin,false,false,150.51698303222656,0.26062393,0.8174302,0.35196152,De Nicolás Urquiola y Teodoro Salen a Galo plaza y Nicolas Urquiola,false
28,29,2.5,admin,false,false,55.598995208740234,0.31098214,0.8064385,0.56593996,De Nicolás Urquiola y Teodoro Salen a Nicolás Urquiola y Pedro Cornelio,false
29,28,-2.5,admin,false,false,55.598995208740234,0.2276488,0.8064385,0.34371775,De Nicolás Urquiola y Pedro Cornelio a Nicolás Urquiola y Teodoro Salen,false
30,27,-1.0,admin,false,false,48.037864685058594,0.250022,0.8055629,0.40972772,De Cotac a Galo plaza y Nicolas Urquiola,false
30,31,0.8,admin,false,false,516.0635375976562,0.44261724,0.8597613,0.53037655,De Cotac a Entrada Bicentenario Bomberos,false
31,30,-0.8,admin,false,false,516.0635375976562,0.41595057,0.8597613,0.4592654,De Entrada Bicentenario Bomberos a Cotac,false
31,32,0.5,admin,false,true,49.28607177734375,0.17545564,0.0057074362,0.42650282,De Entrada Bicentenario Bomberos a Ciclo Via Bicentenario Bomberos,false
32,31,-0.5,admin,false,true,49.28607177734375,0.15878898,0.0057074362,0.38205835,De Ciclo Via Bicentenario Bomberos a Entrada Bicentenario Bomberos,false
32,93,-0.5,admin,false,true,678.2836303710938,0.3773069,0.07854675,0.43668783,De Ciclo Via Bicentenario Bomberos a Salida Bicentenario - Luis Tufiño,false
32,33,0.5,admin,false,true,169.0917205810547,0.21707693,0.019581197,0.43690813,De Ciclo Via Bicentenario Bomberos a Ciclovía Hangar Militar Bicentenario,false
